No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
196,PAYX,"Paychex, Inc.",52.44B,145.71,-0.33%,5.31B
197,FANG,"Diamondback Energy, Inc.",51.45B,176.19,0.13%,9.16B
198,ROST,"Ross Stores, Inc.",51.39B,154.89,0.33%,21.24B
199,O,Realty Income Corporation,51.20B,58.32,0.99%,5.01B
200,CMI,Cummins Inc.,50.90B,371.03,-1.69%,34.20B
201,PWR,"Quanta Services, Inc.",50.77B,343.94,-0.77%,22.90B
202,D,"Dominion Energy, Inc.",50.15B,59.7,0.98%,14.59B
203,MPC,Marathon Petroleum Corporation,49.93B,155.36,-1.13%,142.67B
204,AXON,"Axon Enterprise, Inc.",48.42B,634.96,0.44%,1.94B
205,COR,"Cencora, Inc.",48.26B,249.69,0.50%,293.96B
206,AIG,"American International Group, Inc.",48.12B,77.14,1.10%,45.30B
207,FAST,Fastenal Company,47.96B,83.71,-0.46%,7.48B
208,ODFL,"Old Dominion Freight Line, Inc.",47.85B,224.11,-0.82%,5.92B
209,NDAQ,"Nasdaq, Inc.",47.73B,83.05,0.48%,7.02B
210,NEM,Newmont Corporation,47.65B,42.04,0.10%,16.99B
211,MSCI,MSCI Inc.,47.41B,604.96,0.50%,2.80B
212,HWM,Howmet Aerospace Inc.,47.41B,116.7,-0.41%,7.27B
213,LEN,Lennar Corporation,47.22B,174.1,0.40%,36.46B
214,OXY,Occidental Petroleum Corporation,47.22B,50.32,0.94%,27.14B
215,PEG,Public Service Enterprise Group Incorporated,46.93B,94.2,-0.33%,10.43B
216,LHX,"L3Harris Technologies, Inc.",46.53B,245.33,-0.10%,21.14B
217,KMB,Kimberly-Clark Corporation,46.42B,139.2,-0.38%,20.10B
218,CCI,Crown Castle Inc.,46.37B,106.7,0.38%,6.59B
219,KVUE,Kenvue Inc.,46.26B,24.13,0.04%,15.46B
220,PCG,PG&E Corporation,46.23B,21.63,0.56%,24.83B
221,PRU,"Prudential Financial, Inc.",46.11B,129.52,0.32%,72.97B
222,FIS,"Fidelity National Information Services, Inc.",46.06B,85.55,0.72%,10.03B
223,DFS,Discover Financial Services,45.84B,182.56,-0.03%,11.69B
224,TEL,TE Connectivity plc,45.22B,151.15,0.86%,15.85B
225,AME,"AMETEK, Inc.",45.13B,195.1,-0.97%,6.91B
226,HES,Hess Corporation,45.07B,146.76,0.31%,12.46B
227,KDP,Keurig Dr Pepper Inc.,44.19B,32.58,-0.21%,15.15B
228,F,Ford Motor Company,44.11B,11.1,-,182.74B
229,TRGP,Targa Resources Corp.,43.92B,201.39,-0.99%,16.22B
230,VLO,Valero Energy Corporation,43.87B,138.56,-0.89%,128.73B
231,KR,The Kroger Co.,43.77B,60.5,-0.12%,150.20B
232,BKR,Baker Hughes Company,43.15B,43.61,0.18%,27.30B
233,CTVA,"Corteva, Inc.",42.96B,62.5,-1.19%,16.64B
234,STZ,"Constellation Brands, Inc.",42.84B,235.97,1.01%,10.19B
235,EA,Electronic Arts Inc.,42.78B,163.1,-1.05%,7.41B
236,EW,Edwards Lifesciences Corporation,42.51B,72.07,0.73%,6.31B
237,CBRE,"CBRE Group, Inc.",42.33B,140.71,0.20%,34.31B
238,IR,Ingersoll Rand Inc.,41.93B,104.05,-0.66%,7.16B
239,XEL,Xcel Energy Inc.,41.87B,72.92,1.46%,13.76B
240,VRSK,"Verisk Analytics, Inc.",41.60B,294.56,-0.06%,2.82B
241,GLW,Corning Incorporated,41.29B,48.22,0.46%,12.61B
242,OTIS,Otis Worldwide Corporation,40.95B,102.52,0.54%,14.21B
243,DAL,"Delta Air Lines, Inc.",40.79B,63.62,-0.81%,60.31B
244,GRMN,Garmin Ltd.,40.73B,212.09,-0.36%,5.96B
245,IT,"Gartner, Inc.",40.05B,519.23,-0.72%,6.14B
246,CTSH,Cognizant Technology Solutions Corporation,40.04B,80.75,-0.38%,19.41B
247,EXC,Exelon Corporation,39.70B,39.51,0.05%,22.92B
248,A,"Agilent Technologies, Inc.",39.40B,138.14,2.81%,6.51B
249,LULU,Lululemon Athletica Inc.,39.23B,319.52,0.21%,9.99B
250,YUM,"Yum! Brands, Inc.",38.88B,139.33,0.50%,7.22B
251,KHC,The Kraft Heinz Company,38.61B,31.93,-0.13%,26.13B
252,EXR,Extra Space Storage Inc.,38.09B,172.68,0.58%,3.31B
253,GEHC,GE HealthCare Technologies Inc.,37.92B,83,0.59%,19.56B
254,VMC,Vulcan Materials Company,37.82B,286.39,-0.70%,7.40B
255,ACGL,Arch Capital Group Ltd.,37.75B,100.74,0.33%,16.87B
256,SYY,Sysco Corporation,37.65B,76.65,0.34%,79.71B
257,LVS,Las Vegas Sands Corp.,37.28B,51.42,0.98%,11.32B
258,GIS,"General Mills, Inc.",36.77B,66.23,0.36%,19.80B
259,MTB,M&T Bank Corporation,36.64B,220.8,0.02%,8.50B
260,RMD,ResMed Inc.,36.59B,249.33,-0.26%,4.81B
261,IQV,IQVIA Holdings Inc.,36.56B,201.43,0.10%,15.32B
262,IRM,Iron Mountain Incorporated,36.46B,124.24,0.51%,5.99B
263,MCHP,Microchip Technology Incorporated,36.45B,67.87,-0.79%,5.50B
264,MLM,"Martin Marietta Materials, Inc.",36.40B,595.6,-0.23%,6.51B
265,NUE,Nucor Corporation,36.34B,154.77,0.50%,31.36B
266,HIG,"The Hartford Financial Services Group, Inc.",35.87B,123.74,0.91%,26.08B
267,HUM,Humana Inc.,35.72B,296.68,0.37%,115.01B
268,HSY,The Hershey Company,35.23B,174.09,0.46%,10.97B
269,ED,"Consolidated Edison, Inc.",35.19B,101.58,-0.12%,15.03B
270,DD,"DuPont de Nemours, Inc.",35.07B,83.9,0.07%,12.19B
271,WAB,Westinghouse Air Brake Technologies Corporation,35.04B,200.04,-0.83%,10.33B
272,RJF,"Raymond James Financial, Inc.",34.71B,170.1,0.70%,12.80B
273,IDXX,"IDEXX Laboratories, Inc.",34.54B,421.76,1.06%,3.84B
274,VICI,VICI Properties Inc.,34.37B,32.6,0.68%,3.81B
275,EIX,Edison International,34.21B,88.36,0.71%,17.32B
276,AVB,"AvalonBay Communities, Inc.",33.78B,237.81,1.03%,2.93B
277,CSGP,"CoStar Group, Inc.",33.60B,81.97,2.57%,2.67B
278,ETR,Entergy Corporation,33.53B,156.4,0.30%,11.86B
279,HPQ,HP Inc.,33.40B,34.66,-11.36%,53.56B
280,ROK,"Rockwell Automation, Inc.",33.30B,294.95,-0.35%,8.26B
281,CCL,Carnival Corporation & plc,32.66B,25.14,-0.79%,24.48B
282,TTWO,"Take-Two Interactive Software, Inc.",32.59B,185.56,-1.22%,5.46B
283,EFX,Equifax Inc.,32.38B,261.19,0.87%,5.59B
284,BRO,"Brown & Brown, Inc.",32.37B,113.2,-0.19%,4.56B
285,WTW,Willis Towers Watson Public Limited Company,32.32B,320.86,1.33%,9.81B
286,FITB,Fifth Third Bancorp,32.29B,48.16,-0.19%,8.06B
287,LYV,"Live Nation Entertainment, Inc.",32.22B,139.73,0.62%,23.32B
288,WEC,"WEC Energy Group, Inc.",32.21B,101.82,0.27%,8.53B
289,UAL,"United Airlines Holdings, Inc.",31.69B,96.35,-0.17%,55.99B
290,DOW,Dow Inc.,31.36B,44.64,0.22%,43.18B
291,EBAY,eBay Inc.,30.80B,64.31,-1.20%,10.27B
292,XYL,Xylem Inc.,30.52B,125.61,0.86%,8.42B
